Species;T50;TLP;LT50
ACECA;46,7268;-2,037773333;0,6127
ACEHE;49,2334;-2,60908;-1,9
ACEMO;48,9058;-2,245773333;-1,90634
ACEOP;45,15545;-1,938973333;
ACEPL;44,2454;-1,795453333;
ACEPS;44,71483;-1,759746667;0,88092
CARBE;50,75183;-2,570253333;-1,96785
CAROR;46,2476;-2,30228;1,19356
FAGOR;46,31227;-2,236413333;1,68423
FAGSY;46,0388;-2,29084;-0,1742
FRAAN;46,2511;-2,507506667;-1,7682
FRAEX;47,14818;-2,55396;0,6
FRAOR;47,753;-2,59556;-0,0934
QUECE;49,06392;-2,3626;-0,77629
QUEFR;50,88428;-2,434706667;-1,182576
QUELI;46,6481;-2,194813333;0,46695
QUEPE;48,1487;-2,241266667;-1,27646
QUEPU;47,58194;-2,108493333;-0,17309
QUERO;50,136;-2,445453333;-2,29
